image_name,pci
"23907_(40.6944213333333, -89.425984)_ 2023-10-20 20-28-52_20.1761_D.jpg",38
"25004_[40.703200933114594, -89.41725841076706]_ 2023-10-20 20-39-47_50.2756_LD.jpg",52
"2501_(40.7041321666667, -89.4061146666667)_ 2023-10-18 15-55-30_11.877_D.jpg",4
"34701_(40.7137926666667, -89.4322435)_ 2023-10-18 19-30-25_27.3985_D.jpg",100
"44602_[40.70999536551071, -89.4205024828715]_ 2023-10-20 19-36-58_30.57125_LD.jpg",44
"29064_[40.706239615630864, -89.41184518813631]_ 2023-10-18 18-32-21_29.0968_LD.jpg",100
"1097_[40.70320410236804, -89.40626639732571]_ 2023-10-18 15-48-43_17.93575_LD.jpg",64
"36859_[40.72199616803167, -89.43101517168387]_ 2023-10-18 19-50-46_45.6987_LD.jpg",6
"2284_[40.70338858425428, -89.4059658333333]_ 2023-10-18 15-51-04_18.5888_LD.jpg",13
"16986_(40.703838, -89.4550593333333)_ 2023-10-20 18-35-24_68.44445_D.jpg",45
"7474_[40.70437129478866, -89.39304693145486]_ 2023-10-18 17-43-31_6.808_LD.jpg",100
"28073_[40.70988390847553, -89.39508979614274]_ 2023-10-18 17-36-02_30.0255_LD.jpg",100
"60146_[40.691528747747185, -89.46006702783572]_ 2023-10-20 18-32-35_15.73795_LD.jpg",64
"32240_(40.7150023333333, -89.4142086666667)_ 2023-10-18 19-05-23_33.37585_D.jpg",93
"28916_(40.7052136666667, -89.4119268333333)_ 2023-10-18 18-30-00_14.5928_D.jpg",44
"45530_(40.7063611666667, -89.4118266666667)_ 2023-10-20 19-46-23_29.4002_D.jpg",100
"50638_[40.71634172743289, -89.44319405235063]_ 2023-10-18 20-52-01_47.841_LD.jpg",16
"29075_(40.7066575, -89.411883)_ 2023-10-18 18-32-27_19.46385_D.jpg",100
"19614_(40.7051, -89.4452116666667)_ 2023-10-20 19-00-54_31.0023_D.jpg",8
"42442_[40.70046363249075, -89.47416675165623]_ 2023-10-20 16-47-15_59.1519_LD.jpg",43
"8634_(40.7031155, -89.4068986666667)_ 2023-10-18 18-07-32_5.8423_D.jpg",38
"46393_[40.70316793047685, -89.41775782608832]_ 2023-10-20 19-57-14_41.1403_LD.jpg",68
"33892_[40.717162643053605, -89.42246103341817]_ 2023-10-18 19-21-44_12.3913_LD.jpg",100
"33867_[40.71771212890536, -89.42156243593745]_ 2023-10-18 19-21-29_32.2196_LD.jpg",64
"13186_[40.69922508249871, -89.44384842787103]_ 2023-10-20 16-23-42_23.4987_LD.jpg",64
"33687_[40.716426751053184, -89.41969641485838]_ 2023-10-18 19-19-36_21.6117_LD.jpg",62
"38792_[40.72739141152862, -89.43957869283999]_ 2023-10-18 20-06-36_35.1648_LD.jpg",45
"14894_(40.6925216666667, -89.4708281666667)_ 2023-10-20 17-13-17_25.12855_D.jpg",6
"26519_[40.70915956568176, -89.40239547547313]_ 2023-10-18 17-17-23_11.1296_LD.jpg",91
"47560_(40.7080805, -89.4322613333333)_ 2023-10-20 20-10-52_44.61275_D.jpg",100
"47455_[40.70680222688284, -89.42830433178516]_ 2023-10-20 20-09-57_24.92875_LD.jpg",34
"20018_(40.7050573333333, -89.440547)_ 2023-10-20 19-05-15_22.01315_D.jpg",25
"27673_(40.7099558333333, -89.3960201666667)_ 2023-10-18 17-31-52_26.60485_D.jpg",100
"33676_[40.71643058575194, -89.41913854677323]_ 2023-10-18 19-19-31_36.5523_LD.jpg",88
"20492_[40.70922476393406, -89.43582965539522]_ 2023-10-20 19-09-49_19.50455_LD.jpg",64
"57302_(40.694652, -89.4741413333333)_ 2023-10-20 18-09-34_24.0315_D.jpg",100
"20467_(40.709052, -89.434911)_ 2023-10-20 19-09-24_23.8687_D.jpg",65
"45200_(40.7088636666667, -89.4118715)_ 2023-10-20 19-42-32_29.3151_D.jpg",100
"8917_(40.7043235, -89.4097131666667)_ 2023-10-18 18-12-32_20.04845_D.jpg",34
"20959_[40.71068241815812, -89.42727548979462]_ 2023-10-20 19-14-57_31.55175_LD.jpg",87
"23900_(40.6943861666667, -89.4259566666667)_ 2023-10-20 20-28-32_20.1983_D.jpg",31
"49877_[40.725185458798386, -89.44952598927172]_ 2023-10-18 20-44-45_20.6867_LD.jpg",37
"12985_(40.6967561666667, -89.4400413333333)_ 2023-10-20 16-21-37_21.95025_D.jpg",25
"14373_(40.703014, -89.456682)_ 2023-10-20 16-36-22_57.68115_D.jpg",51
"48146_(40.7000931666667, -89.4068568333333)_ 2023-10-20 21-08-36_42.4649_D.jpg",49
"39719_(40.7134926666667, -89.446064)_ 2023-10-20 15-23-05_26.17565_D.jpg",100
"14386_[40.70332397408567, -89.45603360263063]_ 2023-10-20 16-36-26_62.38755_LD.jpg",28
"7461_(40.7038503333333, -89.3930656666667)_ 2023-10-18 17-43-23_42.587_D.jpg",100
"27216_[40.709191532765175, -89.40310801039709]_ 2023-10-18 17-26-29_35.7642_LD.jpg",100
"41854_(40.7047438333333, -89.4612553333333)_ 2023-10-20 16-42-42_37.63455_D.jpg",16
"45197_[40.70874378911597, -89.41189774826807]_ 2023-10-20 19-42-31_34.5987_LD.jpg",100
"13341_(40.6979136666667, -89.4463445)_ 2023-10-20 16-25-33_36.3044_D.jpg",45
"33178_(40.7200993333333, -89.4158818333333)_ 2023-10-18 19-14-08_48.2332_D.jpg",100
"39735_(40.7134868333333, -89.4469036666667)_ 2023-10-20 15-23-13_31.9791_D.jpg",27
"19027_(40.7036306666667, -89.4436248333333)_ 2023-10-20 18-53-07_31.05225_D.jpg",97
"25432_(40.693206, -89.4068156666667)_ 2023-10-20 20-42-17_63.0073_D.jpg",38
"34681_[40.71370511962742, -89.43233497566793]_ 2023-10-18 19-30-09_26.714_LD.jpg",100
"14362_(40.70275, -89.45718)_ 2023-10-20 16-36-19_53.18195_D.jpg",65
"19138_(40.7034005, -89.4436348333333)_ 2023-10-20 18-54-47_32.02535_D.jpg",100
"35152_[40.71574259102109, -89.42937589091157]_ 2023-10-18 19-34-18_23.25635_LD.jpg",100
"16879_[40.69653993531831, -89.48370624810323]_ 2023-10-20 17-35-58_52.76015_LD.jpg",46
"32238_(40.7150806666667, -89.4142453333333)_ 2023-10-18 19-05-22_32.6858_D.jpg",63
"60349_[40.699220362746104, -89.45991191170657]_ 2023-10-20 18-34-30_51.5484_LD.jpg",47
"60279_[40.69631868847761, -89.45930024730934]_ 2023-10-20 18-34-05_43.7895_LD.jpg",62
"60411_[40.701488967099436, -89.45942230747166]_ 2023-10-20 18-34-59_49.01945_LD.jpg",65
"19026_(40.7036698333333, -89.4436258333333)_ 2023-10-20 18-53-06_31.58505_D.jpg",75
"58949_(40.687917, -89.4643765)_ 2023-10-20 18-20-08_51.1007_D.jpg",37
"47120_(40.7028408333333, -89.4259208333333)_ 2023-10-20 20-07-12_23.7577_D.jpg",16
"36051_[40.72007975531719, -89.41873317571715]_ 2023-10-18 19-42-37_42.91445_LD.jpg",16
"46918_[40.70276097263159, -89.42163839648924]_ 2023-10-20 20-04-02_32.63215_LD.jpg",23
"46798_(40.7032568333333, -89.418093)_ 2023-10-20 20-01-45_47.65045_D.jpg",59
"30471_(40.7176273333333, -89.4073466666667)_ 2023-10-18 18-49-26_54.5528_D.jpg",42
"36876_[40.72275893731488, -89.43126709846716]_ 2023-10-18 19-50-53_44.16135_LD.jpg",20
"15223_(40.6940055, -89.4738828333333)_ 2023-10-20 17-16-50_13.17385_D.jpg",4
"36737_[40.719191931982635, -89.43338918768588]_ 2023-10-18 19-49-58_42.4686_LD.jpg",16
"27421_(40.7110068333333, -89.3990313333334)_ 2023-10-18 17-29-01_11.0482_D.jpg",62
"28242_[40.70468043531852, -89.39485991856401]_ 2023-10-18 17-37-48_15.3217_LD.jpg",100
"59874_[40.700720532213474, -89.46079797498876]_ 2023-10-20 18-28-06_50.62895_LD.jpg",65
"41737_(40.7064308333333, -89.4612443333334)_ 2023-10-20 16-41-30_33.1631_D.jpg",87
"24837_(40.6994525, -89.4215896666667)_ 2023-10-20 20-38-21_43.75435_D.jpg",75
"41209_[40.71341975288682, -89.44538583835794]_ 2023-10-20 15-37-58_28.9192_LD.jpg",25
"7547_[40.70365180523359, -89.3968539059887]_ 2023-10-18 17-44-05_45.58585_LD.jpg",44
"40756_(40.7133325, -89.4441315)_ 2023-10-20 15-34-21_39.3347_D.jpg",100
"29096_(40.706812, -89.4118866666667)_ 2023-10-18 18-32-48_29.23185_D.jpg",100
"59450_[40.69531709356085, -89.46841827896733]_ 2023-10-20 18-24-22_26.825_LD.jpg",44
"60142_(40.6913855, -89.4601021666667)_ 2023-10-20 18-30-26_9.16675_D.jpg",64
"35341_(40.7107376666667, -89.4274063333333)_ 2023-10-18 19-36-02_30.06435_D.jpg",83
"11617_[40.724617135005886, -89.45117872966134]_ 2023-10-18 20-41-21_39.81015_LD.jpg",45
"15071_[40.695372333333225, -89.46845017477634]_ 2023-10-20 17-15-09_28.6935_LD.jpg",49
"31276_(40.7202673333333, -89.4074316666667)_ 2023-10-18 18-55-06_22.681_D.jpg",100
"42735_[40.69861664579821, -89.46660867449651]_ 2023-10-20 16-50-15_22.311_LD.jpg",16
"55480_(40.696455, -89.4799905)_ 2023-10-20 17-50-51_34.03445_D.jpg",78
"16922_[40.69470078242153, -89.48368991488195]_ 2023-10-20 17-36-14_32.55815_LD.jpg",45
"58503_(40.6949005, -89.4739961666667)_ 2023-10-20 18-17-08_22.6847_D.jpg",100
"20112_[40.70483764833679, -89.43559604006828]_ 2023-10-20 19-05-59_6.4454_LD.jpg",4
"8640_(40.7031726666667, -89.4066043333333)_ 2023-10-18 18-07-47_24.29235_D.jpg",25
"49854_(40.7251743333333, -89.4507798333333)_ 2023-10-18 20-44-33_31.20765_D.jpg",55
"35430_(40.7124231666667, -89.4290743333333)_ 2023-10-18 19-36-53_28.4567_D.jpg",64
"44452_(40.7121355, -89.4175298333333)_ 2023-10-20 19-35-14_37.86025_D.jpg",64
"25176_(40.703384, -89.4079771666667)_ 2023-10-20 20-40-44_45.91515_D.jpg",78
"36234_[40.71929041928919, -89.42831969455102]_ 2023-10-18 19-43-37_45.473_LD.jpg",78
"46399_[40.70317742431165, -89.41743355950486]_ 2023-10-20 19-57-17_39.9008_LD.jpg",70
"46085_(40.7025941666667, -89.4174566666667)_ 2023-10-20 19-53-58_32.7117_D.jpg",96
"49875_[40.72514669980867, -89.44962598550867]_ 2023-10-18 20-44-43_24.68825_LD.jpg",88
"46717_[40.70330575139809, -89.41344600492472]_ 2023-10-20 20-01-12_42.5463_LD.jpg",14
"59074_(40.6850021666667, -89.4623451666667)_ 2023-10-20 18-21-12_30.0551_D.jpg",48
"51844_(40.7102491666667, -89.4349996666667)_ 2023-10-20 15-49-35_32.9781_D.jpg",42
"36898_[40.72364534778265, -89.43153379111237]_ 2023-10-18 19-51-03_15.64175_LD.jpg",4
"46398_(40.7032036666667, -89.4174868333333)_ 2023-10-20 19-57-16_40.7111_D.jpg",84
"27707_[40.71117165571636, -89.39685930845823]_ 2023-10-18 17-32-10_24.74375_LD.jpg",96
"39772_[40.7134154816701, -89.44810562659843]_ 2023-10-20 15-23-38_25.5411_LD.jpg",75
"15389_(40.6948578333333, -89.4746011666667)_ 2023-10-20 17-20-25_38.5059_D.jpg",100
"45523_[40.706633648545036, -89.4118042531739]_ 2023-10-20 19-46-19_30.2586_LD.jpg",100
"32368_[40.7152172657602, -89.41431153947543]_ 2023-10-18 19-06-53_36.56895_LD.jpg",64
"29531_[40.70808291758758, -89.4122176666667]_ 2023-10-18 18-38-46_25.68725_LD.jpg",32
"8425_[40.70281379478865, -89.40521923521167]_ 2023-10-18 18-03-44_19.4287_LD.jpg",100
"532_(40.7200875, -89.4159901666667)_ 2023-10-18 15-44-14_67.6804_D.jpg",100
"5418_[40.70253270141714, -89.39305672570231]_ 2023-10-18 16-34-37_25.80935_LD.jpg",100
"55501_(40.696636, -89.478884)_ 2023-10-20 17-51-01_35.24805_D.jpg",94
"7060_[40.703336590197786, -89.40620497294837]_ 2023-10-18 17-06-43_20.10025_LD.jpg",64
"35338_(40.7107378333333, -89.427249)_ 2023-10-18 19-36-01_33.4813_D.jpg",100
"49870_(40.7251725, -89.4498876666667)_ 2023-10-18 20-44-41_33.74585_D.jpg",91
"27678_[40.71011357292131, -89.39616616243664]_ 2023-10-18 17-31-54_34.35635_LD.jpg",100
"24299_(40.6964901666667, -89.4261761666667)_ 2023-10-20 20-32-59_45.4508_D.jpg",47
"49802_[40.70075330340125, -89.39842424606208]_ 2023-10-20 21-31-10_18.1855_LD.jpg",100
"60189_(40.6932115, -89.4600646666667)_ 2023-10-20 18-33-03_18.97915_D.jpg",64
"32366_[40.71514448926465, -89.41428548427876]_ 2023-10-18 19-06-52_38.06375_LD.jpg",78
"55425_[40.69652570352798, -89.47936371739122]_ 2023-10-20 17-50-17_32.2418_LD.jpg",58
"5961_[40.70346522514211, -89.39971434537682]_ 2023-10-18 16-42-28_14.62795_LD.jpg",36
"25000_(40.7032221666667, -89.41746)_ 2023-10-20 20-39-46_51.96835_D.jpg",4
"45299_[40.70889861404215, -89.411918076842]_ 2023-10-20 19-43-38_32.8819_LD.jpg",100
"26478_(40.7092376666667, -89.4044576666666)_ 2023-10-18 17-17-03_35.335_D.jpg",78
"26721_[40.709184089735786, -89.4027935482053]_ 2023-10-18 17-20-43_25.2488_LD.jpg",65
"49837_(40.7251783333333, -89.4506801666667)_ 2023-10-18 20-44-17_36.9482_D.jpg",100
"41744_[40.70620193593414, -89.46148457031668]_ 2023-10-20 16-41-33_41.8877_LD.jpg",62
"60407_[40.70139167314995, -89.45959906931175]_ 2023-10-20 18-34-58_44.90505_LD.jpg",64
"35452_[40.711626839228515, -89.42881398344079]_ 2023-10-18 19-37-04_29.73875_LD.jpg",81
"22028_(40.7117935, -89.417532)_ 2023-10-20 19-25-38_31.49995_D.jpg",73
"5950_[40.70351741960136, -89.39924383437902]_ 2023-10-18 16-42-18_28.16255_LD.jpg",47
"5312_(40.7053375, -89.3948686666667)_ 2023-10-18 16-33-35_24.76225_D.jpg",100
"22045_[40.71250968127415, -89.4175160021834]_ 2023-10-20 19-25-46_33.6811_LD.jpg",100
"9884_(40.7250478333333, -89.4404666666667)_ 2023-10-18 20-23-13_30.4954_D.jpg",48
"60232_[40.6944118759481, -89.45923625120126]_ 2023-10-20 18-33-43_29.2929_LD.jpg",45
"46047_(40.7021293333333, -89.4174183333333)_ 2023-10-20 19-53-27_30.61565_D.jpg",100
"17941_(40.6997503333333, -89.4464131666667)_ 2023-10-20 18-42-55_30.81915_D.jpg",46
"14303_(40.7029388333333, -89.4569488333333)_ 2023-10-20 16-35-55_46.0428_D.jpg",58
"41543_[40.70580993141688, -89.45997720912716]_ 2023-10-20 16-39-18_59.9252_LD.jpg",44
"28280_[40.70441729392235, -89.39328836825355]_ 2023-10-18 17-38-23_26.42725_LD.jpg",86
"59880_(40.7008838333333, -89.4605498333333)_ 2023-10-20 18-28-08_36.10645_D.jpg",52
"39756_[40.71344925502318, -89.44803319241683]_ 2023-10-20 15-23-23_28.98025_LD.jpg",93
"16866_(40.6970561666667, -89.4836865)_ 2023-10-20 17-35-54_49.173_D.jpg",41
"47218_[40.70340971862405, -89.42152475116022]_ 2023-10-20 20-07-59_32.338_LD.jpg",24
"44444_(40.7124466666667, -89.417546)_ 2023-10-20 19-35-11_39.701_D.jpg",64
"16653_(40.696455, -89.4801555)_ 2023-10-20 17-33-54_36.9482_D.jpg",91
"3897_(40.7085206666667, -89.3893973333333)_ 2023-10-18 16-18-52_31.56285_D.jpg",100
"25615_(40.6907175, -89.408112)_ 2023-10-20 20-43-56_20.42955_D.jpg",4
"7427_[40.7023702559552, -89.39302276101937]_ 2023-10-18 17-43-09_30.7137_LD.jpg",100
"26481_(40.7092328333333, -89.4043136666666)_ 2023-10-18 17-17-04_37.2812_D.jpg",100
"32232_(40.7153156666667, -89.4143098333333)_ 2023-10-18 19-05-19_26.7954_D.jpg",62
"20959_(40.7107098333333, -89.4272756666667)_ 2023-10-20 19-14-57_31.55175_D.jpg",99
"59152_(40.6868468333333, -89.4645776666667)_ 2023-10-20 18-21-52_43.9782_D.jpg",44
"5381_[40.70395966960098, -89.39307806983355]_ 2023-10-18 16-34-18_30.4436_LD.jpg",92
"14330_[40.70229786320961, -89.45810202708348]_ 2023-10-20 16-36-03_39.32175_LD.jpg",48
"24845_(40.6998201666667, -89.4215893333333)_ 2023-10-20 20-38-24_47.44695_D.jpg",60
"44456_[40.71198384299834, -89.41754785502415]_ 2023-10-20 19-35-16_37.1258_LD.jpg",77
"32235_(40.7151995, -89.414283)_ 2023-10-18 19-05-20_30.8839_D.jpg",78
"16652_(40.6964521666667, -89.4802041666667)_ 2023-10-20 17-33-54_35.9899_D.jpg",88
"47548_(40.7075986666667, -89.432335)_ 2023-10-20 20-10-47_27.74445_D.jpg",100
"47904_[40.70502426535958, -89.4231177770139]_ 2023-10-20 20-13-29_15.78235_LD.jpg",25
"41477_(40.7037823333333, -89.4573318333333)_ 2023-10-20 16-38-57_44.02075_D.jpg",38
"59985_[40.69702905230267, -89.45941723579637]_ 2023-10-20 18-28-50_46.7754_LD.jpg",100
"32354_(40.7147303333333, -89.4140053333333)_ 2023-10-18 19-06-47_35.03715_D.jpg",100
"36925_(40.7247525, -89.4315765)_ 2023-10-18 19-51-18_25.39125_D.jpg",35
"60332_[40.69856387815349, -89.45990658214204]_ 2023-10-20 18-34-25_50.0943_LD.jpg",47
"20477_[40.70920080152869, -89.43538073887147]_ 2023-10-20 19-09-30_31.25945_LD.jpg",100
"20701_(40.7078285, -89.4322653333333)_ 2023-10-20 19-12-27_35.56995_D.jpg",62
"17335_[40.70331171525413, -89.45253160706265]_ 2023-10-20 18-38-00_22.57_LD.jpg",49
"51768_(40.7102338333333, -89.4342458333333)_ 2023-10-20 15-48-46_37.65305_D.jpg",34
"58945_[40.688061823128706, -89.4643230216795]_ 2023-10-20 18-20-07_50.2534_LD.jpg",48
"35153_(40.7157686666667, -89.4293275)_ 2023-10-18 19-34-19_25.8223_D.jpg",64
"50103_(40.7272835, -89.4460445)_ 2023-10-18 20-46-45_37.3663_D.jpg",16
"59851_[40.70020258049059, -89.46185053762969]_ 2023-10-20 18-27-59_58.6968_LD.jpg",36
"33858_(40.7177905, -89.421116)_ 2023-10-18 19-21-24_20.25935_D.jpg",64
"46066_(40.7029248333333, -89.4174161666667)_ 2023-10-20 19-53-37_30.50095_D.jpg",100
"3672_[40.707527595951305, -89.39379880076766]_ 2023-10-18 16-16-03_19.7543_LD.jpg",48
"57282_[40.69458950223849, -89.47504923093437]_ 2023-10-20 18-09-21_43.30295_LD.jpg",100
"47020_(40.7031973333333, -89.4252178333333)_ 2023-10-20 20-05-45_28.3975_D.jpg",48
"38894_[40.730844596192426, -89.43873919947005]_ 2023-10-18 20-07-38_34.669_LD.jpg",48
"29104_[40.706479688435365, -89.41190824149298]_ 2023-10-18 18-32-52_34.37115_LD.jpg",100
"39805_[40.713442084789726, -89.44632616198825]_ 2023-10-20 15-23-52_39.99515_LD.jpg",26
"58485_[40.69417079114385, -89.47407391317374]_ 2023-10-20 18-16-56_48.4885_LD.jpg",100
"50583_[40.716352919596446, -89.44289895062163]_ 2023-10-18 20-51-23_49.4431_LD.jpg",25
"7494_[40.704486457792825, -89.39403134911724]_ 2023-10-18 17-43-44_42.7313_LD.jpg",17
"33903_(40.717515, -89.42212)_ 2023-10-18 19-21-53_28.8526_D.jpg",100
"20690_(40.7074056666667, -89.432406)_ 2023-10-20 19-12-20_14.73155_D.jpg",95
"41484_(40.7040048333333, -89.45762)_ 2023-10-20 16-39-00_47.91685_D.jpg",64
"9186_(40.72944, -89.4384463333333)_ 2023-10-18 20-16-38_22.7735_D.jpg",62
"41847_(40.7047478333333, -89.460883)_ 2023-10-20 16-42-40_40.2634_D.jpg",64
"3902_(40.7083273333333, -89.389401)_ 2023-10-18 16-18-54_30.5287_D.jpg",100
"17101_[40.70341975104312, -89.45096974850439]_ 2023-10-20 18-36-11_34.32305_LD.jpg",49
"47028_(40.7032581666667, -89.4256176666667)_ 2023-10-20 20-05-49_40.73885_D.jpg",36
"30200_(40.7142223333333, -89.4074045)_ 2023-10-18 18-47-25_6.7044_D.jpg",100
"25800_[40.69263704122335, -89.40680991190706]_ 2023-10-20 20-45-48_53.64815_LD.jpg",39
"35345_(40.7107656666667, -89.4276098333333)_ 2023-10-18 19-36-05_19.8616_D.jpg",87
"656_[40.720166752540386, -89.40833236868694]_ 2023-10-18 15-44-52_46.56265_LD.jpg",75
"6785_(40.7031506666667, -89.4051865)_ 2023-10-18 17-02-21_20.59975_D.jpg",100
"36891_[40.72336703752184, -89.43146416618849]_ 2023-10-18 19-50-59_36.2045_LD.jpg",12
"15662_[40.693787920170855, -89.47734426108894]_ 2023-10-20 17-23-05_21.2824_LD.jpg",43
"49862_[40.72515591770686, -89.45033191420546]_ 2023-10-18 20-44-37_34.27125_LD.jpg",83
"59951_(40.6985031666667, -89.4598968333333)_ 2023-10-20 18-28-36_46.7717_D.jpg",54
"52715_(40.6975496666667, -89.4301638333333)_ 2023-10-20 15-59-03_15.61955_D.jpg",45
"28942_[40.705129923105794, -89.41324794996198]_ 2023-10-18 18-30-15_30.2845_LD.jpg",35
"33184_(40.7201073333333, -89.4155336666667)_ 2023-10-18 19-14-10_39.41795_D.jpg",100
"17460_(40.7048896666667, -89.4475061666667)_ 2023-10-20 18-39-09_64.57425_D.jpg",38
"8759_[40.70436306376434, -89.40964504030272]_ 2023-10-18 18-09-35_9.4979_LD.jpg",27
"529_[40.720057254035794, -89.41618975341095]_ 2023-10-18 15-44-13_67.1143_LD.jpg",92
"7501_[40.70443746859876, -89.39441142545516]_ 2023-10-18 17-43-46_42.27805_LD.jpg",32
"58490_[40.69439423834807, -89.4740785790664]_ 2023-10-20 18-16-58_42.2503_LD.jpg",100
"55518_(40.6967766666667, -89.478022)_ 2023-10-20 17-51-08_39.62885_D.jpg",64
"19238_[40.70218795226979, -89.44223196377618]_ 2023-10-20 18-55-48_9.02615_LD.jpg",48
"22047_(40.712595, -89.4175386666667)_ 2023-10-20 19-25-47_32.76905_D.jpg",100
"32234_(40.7152373333333, -89.414291)_ 2023-10-18 19-05-20_30.72295_D.jpg",78
"33186_(40.7201095, -89.4154271666667)_ 2023-10-18 19-14-11_33.559_D.jpg",42
"59867_[40.70056949198044, -89.46110023461348]_ 2023-10-20 18-28-04_53.8683_LD.jpg",60
"26265_[40.71059427621765, -89.40711292324863]_ 2023-10-18 17-14-32_20.95495_LD.jpg",40
"13739_(40.6986315, -89.4459586666667)_ 2023-10-20 16-29-05_29.7887_D.jpg",96
"44466_(40.7116111666667, -89.4175255)_ 2023-10-20 19-35-20_37.44585_D.jpg",100
"14344_(40.7023116666667, -89.4579516666667)_ 2023-10-20 16-36-13_36.6448_D.jpg",75
"15370_[40.694489379952934, -89.4741051535466]_ 2023-10-20 17-19-04_29.6_LD.jpg",86
"45959_(40.702135, -89.4167505)_ 2023-10-20 19-52-00_19.6544_D.jpg",100
"27808_(40.7099251666667, -89.3960115)_ 2023-10-18 17-33-23_19.7321_D.jpg",100
"55521_[40.69676233219229, -89.47786389058719]_ 2023-10-20 17-51-09_39.6159_LD.jpg",78
"27189_(40.7092613333333, -89.4045463333333)_ 2023-10-18 17-26-16_27.2431_D.jpg",100
"60333_[40.69860154535939, -89.45990674881105]_ 2023-10-20 18-34-26_50.0388_LD.jpg",48
"5382_(40.703922, -89.3930498333334)_ 2023-10-18 16-34-18_30.27895_D.jpg",100
"1533_[40.69861814087265, -89.4036569133937]_ 2023-10-20 21-41-58_36.96855_LD.jpg",27
"19283_(40.703725, -89.441749)_ 2023-10-20 18-56-17_27.2431_D.jpg",100
"25005_[40.70320243025157, -89.41720916679819]_ 2023-10-20 20-39-48_50.0055_LD.jpg",62
